Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
vit_small_patch16_224 + vit_base_patch16_224,0.9339,0.9589,0.5806,0.8589,0.8694,0.7839,0.9750,0.9750,0.9750,0.8789
vit_small_patch32_224 + vit_small_patch16_224,0.9266,0.9839,0.7766,0.9000,0.8782,0.9089,0.9750,0.9589,0.9750,0.9203
vit_base_patch16_224 + vit_small_patch32_224,0.9750,0.9589,0.6129,0.9589,0.9177,0.9500,0.9750,0.9589,0.9750,0.9203
vit_small_patch16_224 + vit_base_patch16_224 + vit_small_patch32_224,0.9500,0.9589,0.5427,0.9589,0.9266,0.8855,0.9750,0.9750,0.9750,0.9053
Average,0.9464,0.9651,0.6282,0.9192,0.8980,0.8821,0.9750,0.9669,0.9750,
