Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
vit_small_patch32_224 + mnasnet0_5,0.6947,0.7678,0.6593,0.7738,0.8286,0.7832,0.7847,0.7026,0.7703,0.7517
vit_small_patch32_224 + vgg16,0.7066,0.7789,0.5856,0.7446,0.8072,0.7564,0.7767,0.6267,0.7814,0.7293
mnasnet0_5 + vgg16,0.6403,0.7637,0.6447,0.7457,0.7819,0.7497,0.7586,0.6594,0.7591,0.7226
vit_small_patch32_224 + mnasnet0_5 + vgg16,0.6989,0.7629,0.6331,0.7537,0.7954,0.7442,0.7691,0.6657,0.7548,0.7309
Average,0.6851,0.7683,0.6307,0.7545,0.8033,0.7584,0.7723,0.6636,0.7664,
