Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
vit_small_patch16_224 + vit_base_patch16_224,0.9750,0.9750,0.9266,0.9500,0.8548,0.9758,0.9755,0.9355,0.9757,0.9460
vit_small_patch32_224 + vit_small_patch16_224,0.9589,0.9750,0.8444,0.9589,0.8871,0.9339,0.9757,0.9105,0.9758,0.9306
vit_base_patch16_224 + vit_small_patch32_224,0.9750,0.9750,0.9194,0.9750,0.8548,0.9751,0.9753,0.9266,0.9750,0.9470
vit_small_patch16_224 + vit_base_patch16_224 + vit_small_patch32_224,0.9750,0.9750,0.9355,0.9750,0.8710,0.9750,0.9754,0.8944,0.9750,0.9470
Average,0.9710,0.9750,0.9065,0.9647,0.8669,0.9650,0.9755,0.9168,0.9754,
