Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF
vit_small_patch32_224 + mnasnet0_5,0.5437037658776789,0.7536574618096357,0.2659970063230933,0.7397062279670975,0.7686339600470036,0.7594917743830787,0.7444917743830787,0.7287132784958872,0.7755611045828437
vit_small_patch32_224 + vgg16,0.5102348777348777,0.7640981198589895,0.44489494152537634,0.7234224441833138,0.7559665099882491,0.7748531139835488,0.7712720329024677,0.7309313972357451,0.7408666274970623
mnasnet0_5 + vgg16,0.46614683005987356,0.7523531139835486,0.27198757763975157,0.6856962397179789,0.8769682726204465,0.7990981198589894,0.7382314923619272,0.7139866263779308,0.7920710928319623
vit_small_patch32_224 + mnasnet0_5 + vgg16,0.5022793911924346,0.7503143360752057,0.27536595601812996,0.7093008225616921,0.8744682726204466,0.777623384253819,0.7382314923619272,0.7207433831346874,0.7718008225616921
