Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF
vit_base_patch32_384 + vit_small_patch32_224,0.7846504112808461,0.7649324324324325,0.3373620670359801,0.641814811706116,0.7653704325443456,0.7712837837837838,0.7920152761457109,0.6815989592076549,0.746418918918919
vit_base_patch32_384 + vit_small_patch16_224,0.7633108108108109,0.7622972972972972,0.3506213977953109,0.5846718146718146,0.7451001622740754,0.7439747356051705,0.7872972972972972,0.6583204633204633,0.7324882491186839
vit_small_patch32_224 + vit_small_patch16_224,0.7532314923619271,0.7739189189189188,0.41020368194281237,0.5456018129931173,0.7676632533154272,0.7872062279670976,0.7124529964747357,0.6196900005595658,0.748620810251245
vit_base_patch32_384 + vit_small_patch32_224 + vit_small_patch16_224,0.7321621621621622,0.777015276145711,0.3213004308656483,0.6358876112136982,0.7613398802529237,0.73,0.7715540540540541,0.6564726372335068,0.734988249118684
