Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF
vit_base_patch32_384 + vit_small_patch32_224,0.7736368977673325,0.7824324324324324,0.49372111241676464,0.5639891444239271,0.72162651782217,0.5036756476973868,0.786554054054054,0.6793412511890773,0.704459739242348
vit_base_patch32_384 + vgg16,0.7566539365452409,0.7856639247943596,0.6108193441889094,0.5326288400201444,0.6819039225560964,0.4051410105757932,0.7809459459459459,0.6276873146438364,0.7148810922723966
vit_small_patch32_224 + vgg16,0.7642450058754406,0.7864071680376028,0.622802305411001,0.5076996250909295,0.6469582004364612,0.35830199764982373,0.7767332549941246,0.6267489228358794,0.7215027138940182
vit_base_patch32_384 + vit_small_patch32_224 + vgg16,0.7642450058754406,0.7860810810810812,0.6231283923675228,0.4958337530076661,0.6701471657993398,0.44355254322645626,0.7643801410105758,0.6558908287169156,0.7365659448268144
