Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
vit_small_patch32_224 + mnasnet0_5,0.5206,0.7455,0.4412,0.7553,0.8244,0.7717,0.7419,0.6975,0.7581,0.6951
vit_small_patch32_224 + vgg16,0.5024,0.7542,0.3420,0.7263,0.7342,0.7830,0.7788,0.7208,0.7559,0.6775
mnasnet0_5 + vgg16,0.4601,0.7658,0.4157,0.7294,0.7967,0.7781,0.7382,0.6933,0.7540,0.6813
vit_small_patch32_224 + mnasnet0_5 + vgg16,0.5083,0.7619,0.4178,0.7193,0.8042,0.7618,0.7407,0.7080,0.7540,0.6862
Average,0.4978,0.7569,0.4042,0.7326,0.7898,0.7737,0.7499,0.7049,0.7555,
