Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF
vit_base_patch32_384 + vit_small_patch32_224,0.7360855576072968,0.7627585193889542,0.33413071456549714,0.7316098707403056,0.7711368977673325,0.7387837837837838,0.7991891891891891,0.6837728722511331,0.7547972972972973
vit_base_patch32_384 + vit_small_patch16_224,0.7335855576072968,0.7580405405405406,0.333892619327402,0.7549324324324325,0.796542303172738,0.7489189189189189,0.7797972972972972,0.6587655978960327,0.7547972972972973
vit_small_patch32_224 + vit_small_patch16_224,0.7405332661854401,0.7565540540540541,0.41020368194281237,0.7645710928319625,0.8124206815511164,0.777488249118684,0.7199529964747357,0.6196900005595658,0.7658108108108108
vit_base_patch32_384 + vit_small_patch32_224 + vit_small_patch16_224,0.7218479659784007,0.7674324324324324,0.3252311006658833,0.7474324324324324,0.8024206815511165,0.7822972972972972,0.7715540540540541,0.665939510939511,0.7622972972972972
